teff,log(L/Lsun),tcool(gyr),logg,Radius,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,PS1_g_mag,PS1_r_mag,PS1_i_mag,PS1_z_mag,PS1_y_mag,U,B,V,R,I,2MASS_J_mag,2MASS_H_mag,2MASS_Ks_mag,GALEX_FUV_mag,GALEX_NUV_mag,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y,2MASS_J,2MASS_H,2MASS_Ks,GALEX_FUV,GALEX_NUV
79217.47582723375,0.258186,8.058488523801088e-05,8.7715295,0.0071415,10.152496291696409,9.964666274414306,10.517954137076092,9.424505706644215,9.887895419365517,10.446339786861856,10.827724992460155,11.202711514241539,9.955738914530961,10.452110641910643,10.853940659192752,11.149940659192751,11.367641127406987,8.641362680587072,9.896051924200073,10.211253668861858,10.365110641910647,10.56179763224154,10.99638997777604,11.136557262689088,11.25047114468909,7.85438151227082,8.543358618545604,66577521.206287496,129594363.79871805,23706759.15335605,191661245.60130352,184922818.1912395,50973525.53930162,20036948.459869668,8563239.27452683,161337753.1131765,50236435.19690096,19195359.43097678,9659316.82874004,6230627.046428018,3818444.1588539337,1224269.6524678036,415463.45010215894,1442839615.6950393,523361297.82079995
78193.38244488362,0.234818,9.038456210700474e-05,8.7722962,0.0071352,10.165579101790282,9.97797264986637,10.530438171022276,9.439019180673373,9.901390933612326,10.459217778279257,10.840019887611593,11.214987662711252,9.969029610101305,10.464799494533299,10.86640594645721,11.16240594645721,11.379715524000229,8.655690082621486,9.909752257123351,10.224128593479257,10.3777994945333,10.574076847511254,11.008779932431882,11.148411160724141,11.262321975924142,7.871570242175814,8.559097937833585,65896307.07689949,128241958.83762257,23477138.023015473,189450386.6238702,182961148.1281725,50461488.245355904,19846329.717266727,8481920.53043556,159656390.078442,49740466.291529045,19009763.461262092,9565922.887352396,6172606.283122374,3781786.7961519463,1213115.367251878,411679.337524191,1422686286.814041,516740445.44591016
77188.39311307753,0.211593,0.00010061551633185673,8.7730491,0.007129,10.178423565884405,9.991037731268428,10.542696249358887,9.45326761823203,9.914640405039176,10.471861244507021,10.85209357592342,11.227041731581505,9.98207808366179,10.477258570736272,10.87864440535225,11.17464440535225,11.39157160660412,8.669757141755351,9.923202726416559,10.236769048107018,10.390258570736275,10.586133927981503,11.020938363719061,11.160049637620098,11.273957441220098,7.888445248238732,8.574549350990406,65234654.04550588,126928510.2772755,23253963.91873902,187305786.0266334,181056516.6660415,49964062.25345589,19661008.878855206,8402869.98654417,158023613.45263982,49258512.63799012,18829396.548824407,9475160.265327986,6116193.486865505,3746180.8639896098,1202269.3785012201,407999.8057184649,1403182679.923498,510325138.8373384
76201.05777791361,0.188488,0.00011117011245235631,8.7737892,0.0071229,10.191045483748255,10.003877571229715,10.554743260652046,9.467268845165105,9.927660217437086,10.484285695303836,10.863960614779955,11.238888315407632,9.994900428992672,10.489503049096466,10.890670961615001,11.186670961615,11.403223683763215,8.683581356651803,9.936420005881505,10.249190538503836,10.402503049096467,10.59798347220763,11.032880407229761,11.171486753081748,11.285391596281748,7.905028081273645,8.589732419925678,64591167.024011835,125651240.8838829,23036777.34152751,185222711.44717598,179204854.75791907,49480205.589832194,19480608.512755282,8325925.977121144,156435957.68187374,48789575.30884908,18653885.82644953,9386841.331767228,6061274.046070075,3711551.2233751984,1191709.7009124472,404417.3966963785,1384282144.6556387,504100664.34469044
75232.93414778449,0.165553,0.00012215611150639917,8.7745116,0.007117,10.203397306167517,10.016444198067035,10.56653249898526,9.48097315106655,9.940402178908403,10.496443892997075,10.87557451847917,11.250481039414819,10.007448765737962,10.501485912155708,10.902439020256189,11.198439020256188,11.414625672644377,8.697113217519252,9.949355592078845,10.261345846597074,10.414485912155705,10.609579085814818,11.044559905010814,11.18267682714486,11.29657878074486,7.921264909105453,8.60459558458328,63966437.66348221,124411318.8507652,22825788.675821535,183202872.11673808,177407815.7898996,49010369.77206995,19305307.344296977,8251163.988204282,154894862.44979912,48334102.126045264,18483399.63516541,9301050.797734173,6007902.65557109,3677929.6871253666,1181446.9020405633,400935.69072600803,1365996695.6911914,498071585.92150897
74283.43874720484,0.142787,0.00013368130108767673,8.7752146,0.0071112,10.216134963679465,10.029379134330025,10.57870502692779,9.494908432133045,9.953393588574318,10.50871948117208,10.887690573018773,11.262331998270962,10.020379134330028,10.513848339178349,10.914475310521524,11.210331998270963,11.42656171467723,8.711138149433381,9.96253690082488,10.273761935022641,10.426705026927792,10.621561714677231,11.056289544420405,11.194275090176113,11.307658799751046,7.938229428642323,8.619954072631586,63323549.0529862,123138558.33527225,22608144.81124404,181161668.03578687,175583754.1331951,48538448.377266675,19122225.86069947,8174910.004814905,153310892.2398256,47864864.0615416,18309457.762460243,9214737.549909689,5951913.566240245,3644346.914583832,1170800.900786538,397512.5604841164,1347013617.6676807,491877001.366697
73352.6824030637,0.120188,0.00014553033258295046,8.7759095,0.0071055,10.228823509498563,10.04225661101795,10.590835118940399,9.50873079666104,9.966290755958171,10.520869263880622,10.899800974335454,11.27410669884185,10.033256611017949,10.526164582459787,10.926436162361236,11.22210669884185,11.438505655421013,8.725129754134274,9.97562021947756,10.286095089400009,10.438835118940402,10.633505655421013,11.06788087332246,11.20584672838224,11.31856181606558,7.955193894444468,8.635262867710205,62688276.22699043,121882000.2158474,22392850.89406159,179157033.92699486,173788871.14478534,48075352.238496386,18940471.3158784,8099712.408502279,151746442.81760952,47400926.59245297,18137926.63323331,9129975.012585437,5896245.234863653,3611433.9725629836,1160248.168210616,394172.3424145255,1328258790.4138072,485768665.8917331
72439.2591411679,0.097733,0.0001579187215041884,8.7765956,0.0070999,10.241278192427986,10.054896722999752,10.60274174791269,9.522299181716184,9.978951206551423,10.532796231464355,10.911687264696296,11.285665552720824,10.045896722999755,10.538253896084454,10.93817770089259,11.233665552720824,11.450229599740924,8.738863229630352,9.988463354723189,10.298201997236122,10.450741747912689,10.64522959974092,11.079259786949057,11.217205303397387,11.329268262516996,7.971844835578617,8.650289985584385,62071076.67688018,120661397.7543688,22183576.239885196,177211268.21226233,172045217.98726112,47625167.01960785,18763812.71526093,8026586.332306456,150226759.17855057,46950036.01547531,17971149.180189006,9047547.487413622,5842124.184335313,3579422.2841587695,1149985.2904310578,390920.45311652846,1310108143.4401612,479847762.743738
71544.7878147302,0.075474,0.00017084656991534075,8.7772721,0.0070944,10.253479950541934,10.067280081378986,10.61440682323077,9.535592500583977,9.991355466092777,10.544482207944561,10.923331438852255,11.296991034670452,10.058280081378985,10.550097865667826,10.949682077107507,11.244991034670452,11.461715780793718,8.752317247601308,10.001046508529829,10.310064161981614,10.462406823230772,10.656715780793718,11.0904090806334,11.22833369591961,11.339761976626555,7.988155749794174,8.665011752574479,61472616.157013565,119478050.97183007,21980554.86315101,175326323.87472698,170354661.89406702,47188398.897927724,18592446.509898208,7955615.940818597,148753459.88454568,46512690.60696746,17809315.17072124,8967549.844505118,5789611.640733732,3548349.1007480426,1140024.1439366634,387760.9124649722,1292575444.7570295,474119577.0617842
70668.03248405852,0.053385,0.0001843139843294921,8.7779407,0.0070889,10.265473930815096,10.079452087118282,10.625874750305533,9.548657358703975,10.003548917682101,10.555971580869349,10.934777920076987,11.308127031062972,10.070452087118285,10.56174114380872,10.96099342456616,11.256127031062972,11.473008356802344,8.765538685337413,10.01341531118529,10.321726211572537,10.473874750305532,10.668008356802344,11.101372400359784,11.239275569795966,11.350085555238485,8.004177455788428,8.679476744823551,60891650.64529664,118329483.81006168,21783372.764275156,173498141.30791804,168713674.8458423,46764159.778964385,18426022.243423752,7886658.822489881,147323462.1750647,46087992.80067607,17652097.74368584,8889821.55792783,5738601.206471695,3518152.4607297503,1130344.8044489182,384687.6466023568,1275618654.8050556,468571137.9104895
