teff,logg,logL,age,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,mass,radius,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
74862.0,6.2926,2.143425,0.005118969,4.412,4.909,5.469,5.863,6.23,0.35153,0.07009776515988227,201236671.68230206,188243161.43970913,51814477.58794683,20132240.733678076,8667487.456052367
74595.0,6.30143,2.128383,0.005119072,4.438,4.935,5.494,5.889,6.256,0.35153,0.06938876727621666,200510502.68508166,187563879.94179094,51675075.97282271,20059592.895969488,8636210.549006686
74411.0,6.30732,2.118204,0.00511914,4.455,4.952,5.511,5.906,6.273,0.35153,0.06891982596651654,200090802.37869987,187171278.97164944,51566911.83714071,20017604.984256264,8618133.589621264
74194.0,6.31417,2.106289,0.005119217,4.476,4.973,5.531,5.926,6.293,0.35153,0.06837843742201109,199377949.770175,186504454.04581723,51430544.68222324,19964669.027017053,8595343.193290593
74010.0,6.31981,2.096328,0.00511928,4.493,4.989,5.548,5.943,6.309,0.35153,0.06793587479935523,198846122.09565744,186178363.2472194,51293357.05937404,19911414.574790142,8580314.799784057
73781.0,6.3267,2.084053,0.005119356,4.513,5.01,5.568,5.963,6.329,0.35153,0.06739911160881773,198338546.29135832,185532163.0849897,51162425.3283942,19860588.578481875,8558412.636745924
73546.0,6.33358,2.07164,0.00511943,4.534,5.03,5.589,5.983,6.35,0.35153,0.06686735923330746,197645588.75224966,185054311.49029425,50983673.446758874,19809436.18654078,8528511.154304259
73362.0,6.33882,2.062043,0.005119486,4.55,5.046,5.604,5.999,6.365,0.35153,0.06646517799152839,197118382.03773633,184560691.1864813,50894531.83952619,19756595.80778918,8513599.612232061
73135.0,6.3452,2.050281,0.005119553,4.57,5.065,5.623,6.018,6.384,0.35153,0.06597876348322328,196384463.1226272,184042959.3516663,50751761.89657736,19701174.371450227,8489717.161858806
72883.0,6.35205,2.03743,0.005119624,4.591,5.086,5.644,6.038,6.405,0.35153,0.0654604779793132,195684814.88719362,183387279.5198366,50570951.35743654,19649075.205495656,8459471.308713512
72691.0,6.35723,2.027669,0.005119677,4.607,5.101,5.659,6.054,6.42,0.35153,0.06507125339053307,195135877.52894324,183041349.0525098,50475557.42999487,19593955.387222648,8443513.88314494
72453.0,6.36349,2.015713,0.005119741,4.626,5.12,5.678,6.072,6.439,0.35153,0.06460396484195884,194534720.6997224,182477451.94447345,50320056.932382755,19551591.505976595,8417501.875011202
72186.0,6.37029,2.002498,0.005119811,4.647,5.141,5.699,6.093,6.46,0.35153,0.06410016864250717,193819346.87941313,181806417.01842898,50135012.06616855,19479693.303648166,8386547.706767432
71880.0,6.37798,1.987436,0.005119889,4.671,5.165,5.722,6.116,6.483,0.35153,0.06353516646270924,192968813.1681648,181008599.41618696,49961000.154335424,19412081.89728782,8357439.122965629
71675.0,6.38302,1.977429,0.005119941,4.687,5.18,5.738,6.132,6.498,0.35153,0.06316757026473101,192365473.47193193,180608925.1206739,49804791.20967917,19351387.73949689,8338985.559960677
