teff,logg,logL,age,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,mass,radius,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
15005.0,3.50012,1.869383,0.181134216,1.443,1.194,1.552,1.832,2.066,0.18687,1.2727197040205958,9402642.723645529,17484854.252247006,5796874.956421591,2501698.2424736666,1217407.660935731
15109.0,3.51621,1.865287,0.181134239,1.464,1.221,1.581,1.861,2.097,0.18687,1.2493604906083444,9570616.944929287,17699133.968239814,5857117.443926347,2527696.478807183,1227795.4803614954
15213.0,3.5323,1.861117,0.181134262,1.485,1.248,1.609,1.891,2.128,0.18687,1.2264300069859402,9741591.954379136,17916039.716799065,5923439.162945229,2551613.6892637596,1238271.9363187116
15317.0,3.54842,1.856831,0.181134285,1.506,1.275,1.638,1.92,2.159,0.18687,1.2038788031236352,9916306.330317793,18136856.486768972,5985410.378663314,2578308.755764275,1248924.0547572298
15420.0,3.56448,1.852411,0.18113431,1.528,1.302,1.667,1.95,2.19,0.18687,1.1818238982895428,10083468.230996955,18357858.4358329,6047194.430783733,2602525.080243275,1259493.7895297487
15523.0,3.58056,1.847896,0.181134334,1.549,1.33,1.696,1.98,2.222,0.18687,1.1601463228115407,10263368.785471005,18565301.926633794,6109897.609909739,2627089.8315845467,1269042.1013847422
15627.0,3.59671,1.843348,0.18113436,1.571,1.357,1.725,2.01,2.253,0.18687,1.1387745896359356,10438544.196459997,18795419.207334857,6174246.047121053,2652313.9130985034,1280047.336771909
15731.0,3.61298,1.838598,0.181134386,1.594,1.386,1.755,2.041,2.285,0.18687,1.1176421390082973,10609866.865804268,18998618.25965915,6235250.88051252,2676054.312114308,1290315.844849408
15835.0,3.62921,1.833818,0.181134413,1.616,1.414,1.784,2.071,2.317,0.18687,1.0969523625344864,10792944.264582988,19219939.51132935,6302080.296939532,2702246.253862752,1300546.9363287548
15939.0,3.64558,1.828825,0.181134441,1.639,1.442,1.814,2.102,2.349,0.18687,1.0764720741464027,10972609.773088245,19450107.97172766,6365813.814738311,2727061.44536342,1311281.790718562
16046.0,3.66227,1.823754,0.18113447,1.663,1.471,1.845,2.133,2.382,0.18687,1.0559850453081179,11153211.409457993,19679407.400706597,6429007.499437541,2754133.091840848,1321861.7333939224
16153.0,3.67915,1.818422,0.181134501,1.687,1.501,1.876,2.165,2.415,0.18687,1.0356613470987177,11341746.453641107,19901784.37252849,6495669.686912018,2780128.8430731525,1333110.1356027478
16266.0,3.69726,1.81242,0.181134534,1.714,1.533,1.91,2.2,2.451,0.18687,1.0142914575425523,11534265.245092742,20146611.722333293,6563476.465857928,2806563.8272429337,1344547.1310761636
16380.0,3.71534,1.806468,0.181134569,1.74,1.565,1.943,2.234,2.487,0.18687,0.9933968255060088,11740049.67020399,20393042.13394804,6637643.639258131,2835665.004061787,1355988.5750161677
16451.0,3.72698,1.802343,0.181134592,1.757,1.586,1.965,2.257,2.511,0.18687,0.9801730736550046,11871618.566700403,20545750.813744374,6681191.691468963,2851641.4807365495,1362373.0073111027
16533.0,3.74051,1.797451,0.181134619,1.778,1.611,1.991,2.283,2.538,0.18687,0.965023230096363,12012680.721299881,20713429.787046753,6729517.585644186,2872267.759817826,1370963.9353484341
16627.0,3.75618,1.791634,0.181134652,1.802,1.639,2.021,2.314,2.57,0.18687,0.9477695855394345,12181757.065572975,20927724.839985862,6786626.246637925,2893975.9886376564,1380053.841639592
16725.0,3.77261,1.785415,0.181134688,1.827,1.669,2.052,2.346,2.603,0.18687,0.9300103200794991,12363457.331380166,21142289.56001122,6849895.283803701,2918266.3234684467,1390356.0479403294
16823.0,3.78913,1.779042,0.181134725,1.853,1.7,2.084,2.378,2.637,0.18687,0.9124892732793739,12538914.306803536,21343813.455616605,6908820.866879959,2943370.436386596,1399735.671062058
16919.0,3.80566,1.772394,0.181134764,1.879,1.73,2.116,2.411,2.67,0.18687,0.8952880090082894,12717154.113593094,21567609.742182165,6968413.8035797505,2966025.793356027,1410509.5481448513
17013.0,3.82227,1.765407,0.181134805,1.906,1.762,2.148,2.444,2.705,0.18687,0.8783301035135049,12888427.543132009,21757651.51521097,7029815.587563289,2989406.148662141,1419011.8766331095
17106.0,3.83889,1.758263,0.181134848,1.933,1.793,2.181,2.477,2.739,0.18687,0.8616834819879035,13062308.43433467,21970099.132565223,7085392.811392949,3013040.1818131637,1428913.7994558152
17196.0,3.85567,1.750601,0.181134894,1.962,1.825,2.214,2.511,2.774,0.18687,0.8451966515705781,13219040.53596501,22172364.858284816,7144040.901983254,3035183.2961387085,1438089.8808339532
