logg,log(teff),mWD,TpreWD(gyr),R(Rsun),core,log(L),Mzams,Gaia_G,Gaia_BP,Gaia_RP,teff
7.5,4.9,0.532,0.00028,0.02157,CO,1.219,1.414,7.5073,7.2331,7.8488,79432.82347242821
7.5,4.88,0.528,0.00035,0.021474,CO,1.135,1.31,7.5651,7.2927,7.9029,75857.75750291836
7.5,4.86,0.523,0.00043,0.021357,CO,1.052,1.201,7.6252,7.3544,7.9602,72443.59600749906
7.5,4.84,0.518,0.00054,0.021222,CO,0.968,1.087,7.6879,7.4185,8.0204,69183.09709189362
7.6,4.9,0.55,0.00034,0.019475,CO,1.133,1.81,7.7295,7.4553,8.071,79432.82347242821
7.6,4.88,0.542,0.00043,0.019322,CO,1.047,1.66,7.7944,7.5221,8.1323,75857.75750291836
7.6,4.86,0.538,0.00053,0.019285,CO,0.964,1.568,7.8469,7.5761,8.1819,72443.59600749906
7.6,4.84,0.535,0.00064,0.019232,CO,0.881,1.475,7.9017,7.6323,8.2342,69183.09709189362
7.6,4.82,0.53,0.00077,0.019161,CO,0.798,1.375,7.9592,7.6912,8.289,66069.34480075965
7.6,4.8,0.526,0.00093,0.019074,CO,0.714,1.272,8.0189,7.7523,8.347,63095.7344480193
7.6,4.78,0.522,0.00112,0.018978,CO,0.63,1.166,8.0803,7.8149,8.4071,60255.95860743581
7.6,4.76,0.517,0.00135,0.018876,CO,0.547,1.059,8.159,7.898,8.4785,57543.993733715666
7.7,4.9,0.578,0.00036,0.017797,CO,1.055,2.382,7.9253,7.6511,8.2668,79432.82347242821
7.7,4.88,0.572,0.00045,0.017711,CO,0.97,2.26,7.9837,7.7113,8.3215,75857.75750291836
7.7,4.86,0.566,0.00056,0.017615,CO,0.886,2.135,8.0436,7.7728,8.3786,72443.59600749906
7.7,4.84,0.56,0.00069,0.017511,CO,0.801,2.005,8.1054,7.8361,8.4379,69183.09709189362
7.7,4.82,0.553,0.00084,0.017401,CO,0.716,1.873,8.1684,7.9005,8.4982,66069.34480075965
7.7,4.8,0.546,0.00102,0.017287,CO,0.63,1.738,8.2325,7.9659,8.5606,63095.7344480193
7.7,4.78,0.541,0.00122,0.0172,CO,0.546,1.623,8.2939,8.0285,8.6207,60255.95860743581
7.7,4.76,0.537,0.00143,0.017159,CO,0.463,1.543,8.3637,8.1022,8.6842,57543.993733715666
7.7,4.74,0.534,0.00167,0.017109,CO,0.38,1.459,8.408,8.1467,8.7288,54954.08738576248
7.7,4.72,0.53,0.00195,0.017052,CO,0.297,1.373,8.456,8.1955,8.7756,52480.74602497723
7.7,4.7,0.527,0.00228,0.01699,CO,0.214,1.287,8.5196,8.2602,8.8377,50118.72336272725
7.7,4.68,0.523,0.00265,0.016927,CO,0.132,1.202,8.6517,8.3947,8.9676,47863.0092322638
7.7,4.66,0.52,0.00307,0.016862,CO,0.049,1.116,8.9036,8.6588,9.2027,45708.818961487515
