logg,mWD,tcool(gyr),Radius,core,log(L),TpreWD(gyr),Mzams,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
7.0,0.496,0.00013,0.03854,CO,1.687,0.0,0.0,0.5219,79432.82347242821,68492276.10058326,143856034.4050028,24825002.608539972,208589310.9026304,193706472.0970045,53274090.899418816,20672692.204454176,8908367.921676314
7.0,0.488,0.00015,0.038093,CO,1.6,0.0,0.0,0.7389,75857.75750291836,65877129.31295232,138197806.982937,23916761.351126336,199740032.67812014,186190363.05887476,51287214.76169855,19920035.391908936,8588774.741517102
7.0,0.481,0.00017,0.037625,CO,1.514,0.0,0.0,0.9547,72443.59600749906,63362455.92542926,132775665.72930168,23044097.61517399,191232830.31793323,178967649.80235633,49384021.248892516,19194970.18649588,8280728.560075482
7.0,0.475,0.00017,0.037147,CO,1.428,0.0,0.0,1.1694,69183.09709189362,60933696.873381466,127533422.09636523,22201648.97544728,183023972.93214425,171996678.6828577,47539211.75541995,18496645.26225764,7983146.0457985625
7.0,0.468,0.00017,0.036662,CO,1.343,0.0,0.0,1.3835,66069.34480075965,58596639.920343176,122483954.2697829,21385549.666774523,175098797.62027535,165278075.02988544,45762228.13940013,17821659.958080668,7696074.442247454
7.0,0.462,0.00015,0.036157,CO,1.257,0.0,0.0,1.5973,63095.7344480193,56332657.6620055,117589007.9306618,20597188.56643965,167436713.72405303,158775238.47785273,44042776.50368492,17167840.92937984,7417828.488359731
7.0,0.455,0.0001,0.035575,CO,1.171,0.0,0.0,1.8124,60255.95860743581,54137126.66743537,112850032.19520749,19832748.560321264,160024195.4920739,152474681.44263658,42373042.68237787,16533722.400822202,7147789.40654748
7.0,0.447,7e-05,0.035035,CO,1.084,0.0,0.0,2.0306,57543.993733715666,51992509.00194043,108229900.99466151,19083959.216741797,152795733.04295897,146313132.52367547,40743208.30908807,15913885.00372726,6883626.889006538
7.0,0.442,8e-05,0.034842,CO,0.998,0.0,0.0,2.2449,54954.08738576248,49908999.8025785,103739787.00820132,18358050.940070022,145770390.49021196,140346439.50825605,39157352.005428255,15312789.282267606,6626671.058882194
7.0,0.438,7e-05,0.034676,CO,0.914,0.0,0.0,2.4545,52480.74602497723,47859375.87730766,99314695.70150903,17639843.78889424,138847313.58566862,134471287.67722544,37597717.42194871,14717785.547969796,6373875.518529724
7.0,0.425,3e-05,0.034109,He,0.821,0.0,0.0,2.6878,50118.72336272725,45852925.0336689,94993421.55198684,16939272.298389733,132098381.30086112,128715123.61168195,36067952.905538045,14137170.149252228,6125810.979876572
7.0,0.369,2e-05,0.031764,He,0.679,0.0,0.0,3.0423,47863.0092322638,43945523.731002346,90882681.01525268,16272052.948044369,125673900.77866986,123258584.92731772,34615379.18462257,13584075.428385241,5889944.348275265
7.0,0.36,2e-05,0.031496,He,0.59,0.0,0.0,3.266,45708.818961487515,41956013.43215184,86584609.2326977,15572628.380451238,118971973.70463808,117548407.17027591,33097002.630114324,13006176.867025442,5643009.253910473
7.0,0.358,3e-05,0.031446,He,0.506,0.0,0.0,3.474,43651.58322401656,39962642.61660048,82296370.99662758,14875168.8193733,112290922.53645481,111839890.19833961,31579747.109537497,12428240.2197254,5396233.650695981
7.0,0.355,3e-05,0.031369,He,0.423,0.0,0.0,3.6821,41686.93834703355,37958030.542400904,77981243.53001544,14170702.319391133,105563582.78511505,106102643.37151457,30048176.361845423,11845110.341358934,5147308.730649423
7.0,0.353,4e-05,0.031273,He,0.34,0.0,0.0,3.8903,39810.71705534969,35922448.40205949,73602474.44170961,13455307.698573546,98749835.37951005,100283264.38088365,28491832.225597892,11252301.734647008,4894208.605724152
7.0,0.35,5e-05,0.031161,He,0.257,0.0,0.0,4.0987,38018.93963205613,33837809.933093905,69120796.20378862,12722426.506243998,91785208.1885848,94324558.15579465,26897795.993303873,10645294.642671252,4634883.18975242
7.0,0.347,6e-05,0.031038,He,0.173,0.0,0.0,4.3072,36307.8054770101,31675068.427229542,64476884.92931996,11959837.14153606,84583959.72781791,88149548.99011132,25241316.963810388,10013663.691133944,4365501.164903553
7.0,0.345,8e-05,0.030906,He,0.09,0.0,0.0,4.5157,34673.685045253165,29429265.21307051,59663112.28642979,11166244.23850838,77138265.53737009,81748906.4170729,23518730.062601164,9356961.84572208,4084848.608815636
7.0,0.342,0.0001,0.030768,He,0.006,0.0,0.0,4.7243,33113.112148259075,27106065.63215093,54680562.18824169,10342706.2375165,69457146.33177301,75129243.94837213,21732061.94333348,8674849.028081525,3794049.845265963
7.0,0.339,0.00013,0.030627,He,-0.077,0.0,0.0,4.933,31622.776601683792,24747771.774313863,49638950.15464866,9506569.036209907,61708722.10736961,68422452.24212122,19916386.743035324,7980893.98851544,3498909.0121426936
7.0,0.337,0.00016,0.030482,He,-0.161,0.0,0.0,5.1418,30199.51720402019,22497698.992724728,44827507.030252255,8710955.716651542,54373658.159370184,62001277.03301953,18184130.96301977,7321052.843700247,3218804.8611212615
7.0,0.334,0.0002,0.030335,He,-0.244,0.0,0.0,5.3506,28840.31503126606,20484106.294864036,40526911.33645569,8006168.476689146,47901318.91536622,56234074.72192845,16639162.742780665,6733679.793582629,2971758.868788311
7.0,0.331,0.00026,0.030186,He,-0.328,0.0,0.0,5.5596,27542.28703338169,18760909.303131696,36848547.15572687,7408010.479280113,42456514.20993058,51276268.94762999,15318221.059893062,6234036.255585896,2762933.490063757
7.0,0.328,0.00034,0.030033,He,-0.411,0.0,0.0,5.7687,26302.679918953814,17276970.319040954,33691013.26147923,6892793.873230343,37858032.334068194,46994834.013640456,14180842.575071655,5803139.71855339,2583117.334496936
7.0,0.325,0.00045,0.029875,He,-0.495,0.0,0.0,5.9782,25118.864315095823,15969421.777028674,30924000.876980435,6436605.552210199,33889069.31412643,43230645.89974881,13175394.873650275,5422063.896112471,2423738.3696231544
7.0,0.322,0.0006,0.029711,He,-0.579,0.0,0.0,6.1881,23988.329190194898,14797572.643003248,28452272.93630318,6025015.725185228,30394914.86755334,39863278.474591054,12270575.425665786,5077219.278491565,2279434.0284603606
7.0,0.312,0.00075,0.029217,He,-0.673,0.0,0.0,6.4236,22908.676527677748,13727573.51751884,26208385.23094024,5645227.940107768,27264920.07355168,36800719.61289012,11441111.733397463,4759805.626106617,2145805.355770428
7.0,0.299,0.00088,0.02856,He,-0.773,0.0,0.0,6.6731,21877.616239495517,12741736.310340712,24152111.146683566,5292688.290310242,24443256.424253356,33988433.28329358,10673406.79100614,4465026.624704926,2021087.7036503805
7.0,0.288,0.00104,0.028033,He,-0.869,0.0,0.0,6.9135,20892.96130854041,11828396.260372162,22258318.409243036,4962420.581617802,21880453.344141394,31389789.125530545,9957729.257411662,4189105.568823771,1904067.8145255526
7.0,0.278,0.00122,0.027588,He,-0.963,0.0,0.0,7.1482,19952.62314968879,10980562.410794582,20507422.08531279,4653206.10062347,19553974.089403577,28989926.720199168,9290926.692240402,3930610.6313677267,1794159.8403327134
7.0,0.271,0.00092,0.02723,He,-1.055,0.0,0.0,7.3765,19054.607179632483,10190834.218279967,18889315.571785033,4362921.919526467,17438141.096391216,26759147.257668275,8666508.860116528,3687781.458515133,1690465.389031427
7.0,0.27,0.00118,0.027204,He,-1.136,0.0,0.0,7.5808,18197.008586099826,9454520.045926776,17386252.09561455,4089283.2262096438,15514219.71342356,24684368.426161617,8080420.014535258,3459353.367406091,1592634.1861136337
7.0,0.269,0.00155,0.027171,He,-1.218,0.0,0.0,7.7851,17378.00828749376,8767863.387254555,15994853.251485957,3832670.45195431,13771594.453002019,22757068.002601687,7532310.651348943,3244959.00240299,1500411.282123874
7.0,0.268,0.0021,0.027133,He,-1.3,0.0,0.0,7.9894,16595.869074375598,8129603.970861805,14708076.33453325,3591840.9196373173,12198876.662274806,20968720.09868162,7020108.724991613,3043861.093012484,1413793.3559407725
7.0,0.267,0.00306,0.027091,He,-1.381,0.0,0.0,8.1937,15848.93192461114,7533814.918461,13517657.308276704,3365601.1769485753,10783143.815157028,19303563.102919985,6541079.01669129,2855028.096727392,1332206.331802429
7.0,0.266,0.00532,0.027051,He,-1.463,0.0,0.0,8.3976,15135.612484362071,6977476.308571974,12411516.701927755,3153160.4795454736,9507554.448079763,17750104.058156386,6091059.182330754,2677773.3210679214,1255379.166933261
7.0,0.265,0.01179,0.02702,He,-1.544,0.0,0.0,8.6009,14454.39770745928,6455566.065031631,11381010.275608644,2952446.4821437458,8359586.205130609,16291342.075543713,5667725.113435893,2510323.9511896945,1182526.4857142356
7.0,0.264,0.02462,0.02699,He,-1.626,0.0,0.0,8.8038,13803.842646028837,5962923.672072077,10414195.728405459,2762020.860567036,7324023.024046849,14915636.231864998,5266640.796102693,2351660.8544724286,1113309.19737241
7.0,0.264,0.04169,0.026958,He,-1.706,0.0,0.0,9.0062,13182.567385564074,5495531.244815836,9504650.828861449,2581412.361950883,6395288.370325881,13609188.021749005,4885670.007206454,2201127.1017973362,1047529.4177082885
7.0,0.263,0.0659,0.026927,He,-1.787,0.0,0.0,9.208,12589.254117941662,5047648.198564105,8638842.65814889,2408223.4596824846,5563390.304536059,12352407.531654863,4519012.340928631,2056669.5512183802,984386.4461454184
7.0,0.262,0.10037,0.026881,He,-1.869,0.0,0.0,9.4113,12022.644346174131,4630780.305653734,7836112.513059457,2250411.205760744,4857632.194987003,11169576.59043318,4177617.0435861964,1924197.3729113992,926938.0806381931
7.0,0.261,0.14299,0.026815,He,-1.951,0.0,0.0,9.6166,11481.536214968817,4284591.44930586,7168625.656162253,2126361.600511307,4339102.081197284,10159958.864744272,3898556.794423082,1820307.9109745692,881913.4446867245
7.0,0.26,0.19284,0.026734,He,-2.033,0.0,0.0,9.8234,10964.78196143185,3972072.1806473136,6570276.0587686775,2015695.0811329489,3919111.1670347312,9247826.318589482,3643607.4433142073,1726523.8089028313,842041.8536028673
7.0,0.258,0.25148,0.026633,He,-2.117,0.0,0.0,10.0316,10471.285480508985,3587772.0411874955,5851555.474882822,1873063.6912046003,3443144.837088521,8167466.72930187,3320315.0188085735,1602582.0754739547,790717.5677996215
7.0,0.255,0.32048,0.026516,He,-2.2,0.0,0.0,10.241,10000.0,3191310.0409103525,5126435.342018011,1717341.649724403,2981669.132309858,7092372.406966171,2978814.4186817366,1466237.890756854,733982.229554897
7.0,0.253,0.39969,0.026402,He,-2.284,0.0,0.0,10.45,9549.92586021436,2799183.476799867,4425861.827207797,1555532.4307742678,2556712.039718586,6061413.316506404,2635274.2266673334,1323691.5780226965,674198.7028186603
7.0,0.251,0.4989,0.026268,He,-2.368,0.0,0.0,10.6604,9120.108393559096,2432937.7894924413,3784578.253924619,1396814.414822171,2183239.875134815,5126176.2829612885,2309114.416925244,1183713.0726450668,614564.6145507685
7.0,0.248,0.62285,0.026129,He,-2.452,0.0,0.0,10.871,8709.635899560806,2100581.041907092,3212964.500050191,1245624.5113810787,1851441.0653888695,4302114.5947424825,2009712.2988534034,1050739.0706683584,556539.493289475
7.0,0.246,0.78175,0.025986,He,-2.537,0.0,0.0,11.0817,8317.63771102671,1806450.8556384076,2715392.640477313,1105589.3720620244,1556813.5459913309,3593591.3066340145,1741568.6557778595,928413.8078574159,501490.48549524264
7.0,0.243,0.99477,0.025842,He,-2.621,0.0,0.0,11.2925,7943.282347242814,1549861.089340482,2287174.2901981166,978273.9276850276,1295457.6671433893,2991956.7264024327,1505522.4075095484,818028.0858519865,450328.38454077457
7.0,0.241,1.26768,0.025702,He,-2.705,0.0,0.0,11.503,7585.775750291836,1326939.6790089349,1919453.8129415496,863413.5996071639,1063314.2436148296,2481953.917551422,1298152.2473490143,719327.42852588,403355.2625476084
7.0,0.239,1.48492,0.025586,He,-2.789,0.0,0.0,11.7117,7244.359600749898,1132453.1085550191,1603048.6906716242,759815.1213260237,858995.0850299809,2048532.0408587041,1115667.2300076322,630980.1078968197,360293.7885170784
7.0,0.237,1.77572,0.025484,He,-2.873,0.0,0.0,11.9225,6918.309709189362,963495.8014897233,1331730.3948373063,666833.6859094782,682370.5532449672,1681405.0961255298,955353.8876019459,552134.9850321489,321134.0623827002
7.0,0.235,2.09025,0.025387,He,-2.957,0.0,0.0,12.1325,6606.934480075957,816436.201201396,1099027.9536554024,583458.4815303284,531438.1210869506,1369950.2191075135,814548.0381261649,481856.46816993825,285547.7878380571
7.0,0.233,2.42455,0.025287,He,-3.041,0.0,0.0,12.3423,6309.57344480193,688763.940836882,900154.1492761918,509000.37972286943,404763.04358625686,1106045.3521233913,691042.6480669512,419320.2557441335,253365.19131746527
7.0,0.231,2.75717,0.025182,He,-3.125,0.0,0.0,12.5523,6025.595860743575,577835.979564321,730551.8849339014,442397.1130695824,300618.03439361934,883053.696820635,582745.6345658433,363546.54356395925,224182.2000332525
7.0,0.229,3.06224,0.025066,He,-3.209,0.0,0.0,12.763,5754.399373371566,481653.75306614646,586869.357618559,382703.69272739254,217362.88981353326,695981.1567613606,487763.61120186176,313740.35848655814,197665.78219524288
7.0,0.226,3.32958,0.024925,He,-3.294,0.0,0.0,12.9758,5495.408738576249,399093.5283483714,466531.7131446344,329763.35235756316,152730.27581215143,540825.571932949,405386.3619877003,269668.4414496611,173792.58062886103
7.0,0.223,3.5566,0.024737,He,-3.381,0.0,0.0,13.1925,5248.074602497728,328587.4417878156,368313.33811122266,281876.36693965597,105735.64329455812,416863.138615054,333922.28986564424,229829.8327306241,151665.74679557182
7.0,0.219,3.73545,0.024468,He,-3.47,0.0,0.0,13.416,5011.872336272725,267293.3017639266,286440.5910396036,238076.0891351846,70475.55852125211,315886.16732794815,271133.0904966015,193474.40309916655,130949.73454410853
7.0,0.213,3.88809,0.024137,He,-3.562,0.0,0.0,13.6445,4786.300923226385,215902.88144392942,220853.82433386575,199391.2713820054,45113.7459059574,237072.38636773487,218098.6047014382,161396.41294562648,112185.04982479532
7.0,0.208,4.016,0.02382,He,-3.653,0.0,0.0,13.8719,4570.881896148751,175784.87522689355,171833.56108924793,167644.46111771747,26355.542232650834,179888.76404083474,176789.2908468237,135125.38514419599,96324.78575618661
7.0,0.203,4.31683,0.023545,He,-3.742,0.0,0.0,14.096,4365.158322401661,143650.6613546455,133793.2228483878,141603.9388636892,15155.074668088882,135497.15066453602,143675.28869951458,113632.63290978482,83073.81910064898
7.0,0.199,4.68716,0.023341,He,-3.83,0.0,0.0,14.3141,4168.693834703355,119021.68713674435,105826.05033742417,120913.22538317143,8755.411303502258,103211.62955703723,118375.15230843019,96627.67766220732,72287.4073697059
7.0,0.197,5.08568,0.023194,He,-3.915,0.0,0.0,14.5272,3981.0717055349733,101249.69268043843,86441.08295146425,105468.17175963418,5309.384337759215,81091.67040727321,100246.25619059803,83998.04020430266,63972.04887521116
7.0,0.195,5.5038,0.023082,He,-3.999,0.0,0.0,14.7373,3801.8939632056126,86202.1595474708,70834.46717611076,91826.03879439876,3211.0613013743623,63641.53980076167,85112.35251889638,72971.55243069277,56290.44638580971
