wavelength,flux
3799.27,9.35888e-17
3800.14,6.26015e-17
3801.02,3.16232e-17
3801.89,8.39246e-17
3802.77,6.59510e-17
3803.64,8.34165e-17
3804.52,1.11987e-16
3805.40,2.66979e-17
3806.27,2.74975e-17
3807.15,5.83599e-17
3808.03,9.70606e-17
3808.90,1.21966e-16
3809.78,1.36906e-17
3810.66,6.17479e-17
3811.54,6.04684e-17
3812.41,5.14213e-17
3813.29,1.61676e-17
3814.17,9.31836e-17
3815.05,1.14993e-16
3815.93,9.02199e-17
3816.81,9.64009e-17
3817.68,5.41549e-17
3818.56,7.22840e-17
3819.44,5.76788e-17
3820.32,4.62927e-17
3821.20,5.12170e-17
3822.08,6.44312e-17
3822.96,5.30386e-17
3823.84,5.32985e-17
3824.72,7.38188e-17
3825.60,7.79709e-17
3826.48,7.34456e-17
3827.37,4.92312e-17
3828.25,7.70696e-17
3829.13,9.26860e-17
3830.01,2.40661e-17
3830.89,3.73855e-17
3831.78,6.49850e-17
3832.66,7.52060e-17
3833.54,7.56457e-17
3834.42,3.49244e-17
3835.31,6.41103e-17
3836.19,6.95645e-17
3837.07,5.15921e-17
3837.96,4.75500e-17
3838.84,4.74474e-17
3839.72,4.99288e-17
3840.61,6.19725e-17
3841.49,7.16344e-17
3842.38,6.42837e-17
3843.26,6.84241e-17
3844.15,1.09801e-16
3845.03,1.05357e-16
3845.92,5.29125e-17
3846.80,8.61417e-17
3847.69,8.29426e-17
3848.58,5.59153e-17
3849.46,4.76918e-17
3850.35,5.54068e-17
3851.23,8.80336e-17
3852.12,6.50568e-17
3853.01,6.71135e-17
3853.90,7.56493e-17
3854.78,9.13877e-17
3855.67,6.46110e-17
3856.56,7.01549e-17
3857.45,8.38520e-17
3858.34,5.66427e-17
3859.22,4.86826e-17
3860.11,9.17890e-17
3861.00,9.84983e-17
3861.89,1.03147e-16
3862.78,8.76570e-17
3863.67,8.44143e-17
3864.56,7.71725e-17
3865.45,8.80867e-17
3866.34,8.94927e-17
3867.23,4.62591e-17
3868.12,2.94526e-17
3869.01,8.45044e-17
3869.90,7.16859e-17
3870.79,9.98642e-17
3871.68,7.54169e-17
3872.58,3.88338e-17
3873.47,4.64829e-17
3874.36,8.31091e-17
3875.25,7.42204e-17
3876.14,4.69986e-17
3877.04,1.00685e-16
3877.93,6.08756e-17
3878.82,6.61480e-17
3879.72,3.75387e-17
3880.61,6.53871e-17
3881.50,5.71281e-17
3882.40,8.40480e-17
3883.29,9.18689e-17
3884.18,5.04480e-17
3885.08,9.29076e-17
3885.97,1.24502e-16
3886.87,8.49017e-17
3887.76,7.76462e-17
3888.66,7.37751e-17
3889.56,8.47067e-17
3890.45,1.01408e-16
3891.35,6.22858e-17
3892.24,1.94450e-17
3893.14,3.52204e-17
3894.04,4.03966e-17
3894.93,7.26286e-17
3895.83,4.76010e-17
3896.73,5.52474e-17
3897.62,6.51222e-17
3898.52,6.24094e-17
3899.42,4.88620e-17
3900.32,3.43576e-17
3901.22,3.52537e-17
3902.11,6.54576e-17
3903.01,1.00515e-16
3903.91,6.94091e-17
3904.81,5.62033e-17
3905.71,5.22762e-17
3906.61,5.21405e-17
3907.51,5.39957e-17
3908.41,7.92346e-17
3909.31,7.58080e-17
3910.21,3.91705e-17
3911.11,6.47290e-17
3912.01,7.74491e-17
3912.91,7.21320e-17
3913.81,5.06642e-17
3914.71,4.69468e-17
3915.61,8.67746e-17
3916.52,7.62283e-17
3917.42,5.08120e-17
3918.32,5.75859e-17
3919.22,5.78908e-17
3920.13,6.57551e-17
3921.03,7.18787e-17
3921.93,6.90520e-17
3922.84,8.96585e-17
3923.74,7.58204e-17
3924.64,6.26598e-17
3925.55,6.67626e-17
3926.45,6.63457e-17
3927.35,7.08501e-17
3928.26,9.58369e-17
3929.16,7.69388e-17
3930.07,3.67654e-17
3930.97,9.21306e-17
3931.88,7.04318e-17
3932.78,4.71969e-17
3933.69,6.82395e-17
3934.59,9.39934e-17
3935.50,6.58381e-17
3936.41,3.98649e-17
3937.31,9.57736e-17
3938.22,7.09728e-17
3939.13,7.30015e-17
3940.03,4.71441e-17
3940.94,3.40487e-17
3941.85,5.55385e-17
3942.76,8.72592e-17
3943.67,9.47714e-17
3944.57,6.93996e-17
3945.48,3.46144e-17
3946.39,3.45140e-17
3947.30,8.04485e-17
3948.21,4.46242e-17
3949.12,7.95079e-17
3950.03,2.61091e-17
3950.94,2.12186e-17
3951.85,6.73300e-17
3952.76,7.37758e-17
3953.66,6.44608e-17
3954.58,7.61047e-17
3955.49,3.86195e-17
3956.40,3.65157e-17
3957.31,6.27428e-17
3958.22,6.01230e-17
3959.13,6.18253e-17
3960.05,5.70596e-17
3960.96,4.93255e-17
3961.87,4.83588e-17
3962.78,5.42979e-17
3963.69,6.06894e-17
3964.61,5.51861e-17
3965.52,4.13990e-17
3966.43,4.74683e-17
3967.35,1.19061e-17
3968.26,4.57145e-17
3969.17,2.20449e-17
3970.09,2.30920e-17
3971.00,6.85382e-17
3971.92,5.69183e-17
3972.83,2.91359e-17
3973.74,4.32732e-17
3974.66,2.82536e-17
3975.58,6.95734e-17
3976.49,5.86687e-17
3977.41,4.72685e-17
3978.32,3.87085e-17
3979.24,4.01839e-17
3980.16,5.44825e-17
3981.07,6.41307e-17
3981.99,6.15550e-17
3982.91,5.09944e-17
3983.82,5.40178e-17
3984.74,6.77079e-17
3985.66,8.80411e-17
3986.58,5.85796e-17
3987.49,3.16204e-17
3988.41,4.86450e-17
3989.33,7.37220e-17
3990.25,6.63701e-17
3991.17,5.34024e-17
3992.09,6.24346e-17
3993.01,5.49839e-17
3993.93,6.98421e-17
3994.85,6.59380e-17
3995.76,5.66119e-17
3996.69,5.96995e-17
3997.61,7.50593e-17
3998.53,8.05464e-17
3999.45,5.71350e-17
4000.37,3.90924e-17
4001.29,7.54366e-17
4002.21,7.13120e-17
4003.13,5.60179e-17
4004.05,6.27884e-17
4004.98,7.54621e-17
4005.90,8.58059e-17
4006.82,6.73086e-17
4007.74,3.60937e-17
4008.67,4.89523e-17
4009.59,8.35307e-17
4010.51,4.94758e-17
4011.44,7.56103e-17
4012.36,5.10502e-17
4013.28,6.95787e-17
4014.21,7.17174e-17
4015.13,8.43118e-17
4016.06,8.51284e-17
4016.98,7.99580e-17
4017.91,9.22484e-17
4018.83,7.72020e-17
4019.76,6.87131e-17
4020.68,9.26798e-17
4021.61,8.57423e-17
4022.54,9.38023e-17
4023.46,6.43351e-17
4024.39,6.21191e-17
4025.32,7.20827e-17
4026.24,6.67552e-17
4027.17,6.80981e-17
4028.10,7.39084e-17
4029.03,7.03826e-17
4029.95,7.64714e-17
4030.88,9.66270e-17
4031.81,7.47698e-17
4032.74,5.29621e-17
4033.67,6.92983e-17
4034.59,7.61452e-17
4035.53,8.24753e-17
4036.45,9.93269e-17
4037.38,8.16679e-17
4038.31,8.61583e-17
4039.24,5.18330e-17
4040.17,6.65874e-17
4041.10,6.82987e-17
4042.03,8.60744e-17
4042.96,7.99033e-17
4043.90,8.81751e-17
4044.83,8.90840e-17
4045.76,7.19570e-17
4046.69,8.49797e-17
4047.62,6.75184e-17
4048.55,1.00449e-16
4049.49,5.00839e-17
4050.42,8.32566e-17
4051.35,6.49614e-17
4052.29,5.31131e-17
4053.22,6.47826e-17
4054.15,7.39206e-17
4055.09,6.97850e-17
4056.02,6.75779e-17
4056.95,8.82070e-17
4057.89,6.84751e-17
4058.82,8.96232e-17
4059.76,5.10588e-17
4060.69,8.42845e-17
4061.63,7.68283e-17
4062.56,7.38030e-17
4063.50,7.08241e-17
4064.43,4.82837e-17
4065.37,5.93883e-17
4066.31,7.78003e-17
4067.24,4.26758e-17
4068.18,7.35251e-17
4069.11,7.50572e-17
4070.05,7.66420e-17
4070.99,6.86555e-17
4071.93,6.81146e-17
4072.86,5.89114e-17
4073.80,6.09785e-17
4074.74,7.64144e-17
4075.68,5.35505e-17
4076.62,6.09219e-17
4077.56,6.41151e-17
4078.50,4.70902e-17
4079.43,6.49403e-17
4080.37,6.06837e-17
